REGISTER_NAME	BN_NAME	BN_STATUS	BN_REG_DT	BN_CANCEL_DT	BN_RENEW_DT	BN_STATE_NUM	BN_STATE_OF_REG	BN_ABN
BUSINESS NAMES	Warby Wares	Deregistered	31/05/2015	12/10/2017	31/05/2017			48697696446
BUSINESS NAMES	"SPLASH" BUSINESS SOLUTIONS	Deregistered	01/06/2015	12/10/2017	01/06/2017			48968175734
BUSINESS NAMES	M & A GLOWACKI ELECTRICAL\INSTRUMENT DESIGN	Deregistered	02/05/2016	15/09/2017	02/05/2017			83577206754
BUSINESS NAMES	oH my gooDnesS (organic vegan treats)	Deregistered	02/06/2015	27/06/2017	02/06/2018			96597952722
BUSINESS NAMES	AAA TURF AND GARDEN MAINTENANCE	Deregistered	02/06/2015	21/08/2017	02/06/2018			80896823016
BUSINESS NAMES	Drewz Brewz	Deregistered	04/06/2015	12/10/2017	04/06/2017			38560902316
BUSINESS NAMES	Three Winks Photography	Deregistered	01/06/2015	04/11/2017	01/06/2018			56331018500
BUSINESS NAMES	Wallys Curtains & Blinds	Deregistered	31/05/2015	09/06/2017	31/05/2017			
BUSINESS NAMES	D MACS TIPPER HIRE	Deregistered	03/06/2015	12/10/2017	03/06/2017			31132047384
BUSINESS NAMES	Dream On Kidswear	Deregistered	28/05/2015	05/10/2017	28/05/2017			17839921016
BUSINESS NAMES	NATIONAL MARINE DESIGN & SURVEY	Deregistered	02/06/2015	12/10/2017	02/06/2017			48188784877
BUSINESS NAMES	FOOD NOT FADS	Deregistered	30/05/2015	12/10/2017	30/05/2017			56942869398
BUSINESS NAMES	Angela Pickett Consulting	Deregistered	02/06/2015	12/10/2017	02/06/2017			42425112292
BUSINESS NAMES	HEDGE FINANCE	Deregistered	02/06/2015	10/08/2017	02/06/2017			17273118158
BUSINESS NAMES	SOILS AINT SOILS FORRESTFIELD	Deregistered	03/06/2015	28/10/2017	03/06/2018			29165113093
BUSINESS NAMES	Bilir Driving School	Deregistered	04/06/2015	12/10/2017	04/06/2017			42460622087
BUSINESS NAMES	HAPPY2SCRAP4U	Deregistered	09/03/2016	20/07/2017	09/03/2017			55738306006
BUSINESS NAMES	LUXE NAILS & LASHES	Deregistered	04/06/2015	12/10/2017	04/06/2017			81896565429
BUSINESS NAMES	BAY CITY ACCOUNTING SERVICES	Deregistered	29/05/2015	05/10/2017	29/05/2017			64675263136
